freq,regisveh,unit,vehicle,geo\TIME_PERIOD	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,D001,MIO_VKM,TOTAL,AT	77258 	77178 	78107 	80604 	82622 	85014 	86854 	: 	: 	: 
A,D001,MIO_VKM,TOTAL,BE	: 	: 	102420 	98800 	99910 	: 	: 	: 	: 	: 
A,D001,MIO_VKM,TOTAL,BG	1434 	1479.7 	1522 	1399.800 	1432.300 	1449.800 	1449.900 	1426.600 	1129.700 	1197.500 
A,D001,MIO_VKM,TOTAL,CH	: 	61106 	63130 	64216 	65351 	66658 	67822 	68616 	69265 	58620 
A,D001,MIO_VKM,TOTAL,CY	8590.1 e	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D001,MIO_VKM,TOTAL,CZ	47541 	46875 	47156 	48335 	50934 	52775 	54558 	56401 	56401 	51989 
A,D001,MIO_VKM,TOTAL,EE	: 	: 	9111.800 e	9471.600 e	9976 e	10387.300 e	10811.300 e	11197.100 e	11659.100 e	11251.300 
A,D001,MIO_VKM,TOTAL,ES	234678 	224285 	220377 	222689 	230840 	239353 	244661 	250192 	252055 	195687 
A,D001,MIO_VKM,TOTAL,FI	55360 	: 	55331 	55741 	56306 	51522 b	51386 	51597 	51548 	49704 
A,D001,MIO_VKM,TOTAL,FR	529543 	: 	567829 	572394 	603896 	613696 	619908 	620159 	615372 	511172 
A,D001,MIO_VKM,TOTAL,HR	20609 	20317 	20216 	20440 	21195 	21920 	22750 	23440 	24280 	19850 
A,D001,MIO_VKM,TOTAL,HU	: 	: 	36055.770 	36771 	38580.570 	40451.330 	43015.720 e	44796.460 e	46415.930 e	41012.560 
A,D001,MIO_VKM,TOTAL,IE	: 	: 	39626 	42738 	44835 	46836 	47795 	47545 	47072 	36237 
A,D001,MIO_VKM,TOTAL,IT	: 	: 	75122 	76574 	79384 	82024 	83819 	84127 	84655 	61413 
A,D001,MIO_VKM,TOTAL,LT	10149 	: 	10344 	10859 	11134 	11687 	12136 	12483 	13099 	12160 
A,D001,MIO_VKM,TOTAL,LV	10629.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D001,MIO_VKM,TOTAL,ME	: 	: 	: 	: 	: 	2392.710 e	2523 e	: 	: 	: 
A,D001,MIO_VKM,TOTAL,MK	802 	: 	3846.182 	4312.539 	4421 	4534 	4833 	4800 	4793.150 	4747.686 
A,D001,MIO_VKM,TOTAL,NL	: 	: 	131766 	132198 	134129 	137837 	139850 	142022 	142259 	124064 
A,D001,MIO_VKM,TOTAL,NO	43655 	: 	45285 e	45140 e	45715 e	46107 e	46791 e	47506 e	47065 e	45128 
A,D001,MIO_VKM,TOTAL,PL	195864 e	: 	212168 	217671 e	222106 e	: 	: 	: 	: 	: 
A,D001,MIO_VKM,TOTAL,RO	42867 	44571 	47322 	49662 	52173 	53694 	55268 	56899 	58589 	60342 
A,D001,MIO_VKM,TOTAL,SE	: 	: 	77761 	79221 	80736 	82602 	83896 	84536 	83723 	77759.139 
A,D001,MIO_VKM,TOTAL,SI	: 	: 	: 	: 	20674 p	20605 	21346 	21886 p	: 	20242 p
A,D001,MIO_VKM,TOTAL,TR	85495 	93989 	99431 	102988 	113274 	119671 	127997 	: 	: 	: 
A,D001,MIO_VKM,TOTAL,UK	488882 	487052 	488784 	501511 	509709 	519728 	526423 	: 	573762 	451413 
